,Age,Gender,PC+TV on weekdays,PC+TV on weekends,ScreenTime,Screen_time_exposure,Exercise,Sleeptime,Sleeping_pattern
93,51.0,Male,1.0,5.0,2.142857142857143,Low,1.0,7.857142857142858,Normal
94,65.0,Female,3.0,4.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
95,35.0,Female,2.0,2.0,2.0,Low,1.0,8.0,Normal
96,7.0,Male,2.0,8.0,3.7142857142857144,High,3.0,8.285714285714285,Normal
97,66.0,Female,1.0,3.0,1.5714285714285714,Low,1.0,8.428571428571429,Normal
98,30.0,Female,1.0,8.0,3.0,High,3.0,9.0,Normal
99,46.0,Male,3.0,3.0,3.0,High,3.0,9.0,Normal
100,60.0,Female,2.0,5.0,2.8571428571428568,High,3.0,9.142857142857142,Normal
101,65.0,Female,3.0,6.0,3.8571428571428568,High,3.0,8.142857142857142,Normal
102,40.0,Female,3.0,9.0,4.7142857142857135,High,3.0,7.2857142857142865,Normal
103,49.0,Male,3.0,4.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
104,17.0,Male,4.0,9.0,5.428571428571429,High,1.0,4.571428571428571,Low
105,29.0,Female,3.0,2.0,2.7142857142857144,High,3.0,9.285714285714285,Normal
106,19.0,Male,4.0,3.0,3.7142857142857144,High,3.0,8.285714285714285,Normal
107,45.0,Male,2.0,7.0,3.428571428571429,High,2.0,7.571428571428571,Normal
108,46.0,Male,3.0,4.0,3.2857142857142856,High,3.0,8.714285714285715,Normal
109,63.0,Female,4.0,10.0,5.7142857142857135,High,1.0,4.2857142857142865,Low
110,27.0,Female,1.0,6.0,2.4285714285714284,Low,1.0,7.571428571428571,Normal
111,50.0,Male,4.0,2.0,3.428571428571429,High,2.0,7.571428571428571,Normal
112,36.0,Female,4.0,9.0,5.428571428571429,High,2.0,5.571428571428571,Low
113,15.0,Male,3.0,8.0,4.428571428571429,High,3.0,7.571428571428571,Normal
114,23.0,Female,1.0,5.0,2.142857142857143,Low,2.0,8.857142857142858,Normal
115,7.0,Female,2.0,8.0,3.7142857142857144,High,3.0,8.285714285714285,Normal
116,38.0,Female,3.0,3.0,3.0,High,2.0,8.0,Normal
117,48.0,Male,1.0,5.0,2.142857142857143,Low,1.0,7.857142857142858,Normal
118,39.0,Male,4.0,7.0,4.857142857142858,High,2.0,6.142857142857142,Normal
119,11.0,Female,1.0,2.0,1.2857142857142856,Low,3.0,10.714285714285715,High
120,17.0,Female,2.0,4.0,2.571428571428571,High,2.0,8.428571428571429,Normal
121,26.0,Male,1.0,9.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
122,62.0,Female,3.0,6.0,3.8571428571428568,High,1.0,6.142857142857143,Normal
123,32.0,Male,1.0,10.0,3.571428571428571,High,1.0,6.428571428571429,Normal
124,20.0,Female,3.0,8.0,4.428571428571429,High,2.0,6.571428571428571,Normal
125,11.0,Female,4.0,3.0,3.7142857142857144,High,2.0,7.285714285714286,Normal
126,52.0,Female,3.0,8.0,4.428571428571429,High,1.0,5.571428571428571,Low
127,41.0,Male,1.0,5.0,2.142857142857143,Low,2.0,8.857142857142858,Normal
128,39.0,Female,3.0,2.0,2.7142857142857144,High,1.0,7.285714285714286,Normal
129,47.0,Female,1.0,2.0,1.2857142857142856,Low,2.0,9.714285714285715,High
130,34.0,Male,1.0,8.0,3.0,High,2.0,8.0,Normal
131,19.0,Male,1.0,6.0,2.4285714285714284,Low,2.0,8.571428571428571,Normal
132,50.0,Female,1.0,4.0,1.8571428571428572,Low,2.0,9.142857142857142,Normal
133,16.0,Male,1.0,3.0,1.5714285714285714,Low,3.0,10.428571428571429,High
134,64.0,Male,4.0,5.0,4.285714285714286,High,3.0,7.714285714285714,Normal
135,49.0,Female,2.0,7.0,3.428571428571429,High,2.0,7.571428571428571,Normal
136,25.0,Male,2.0,8.0,3.7142857142857144,High,3.0,8.285714285714285,Normal
137,68.0,Female,4.0,9.0,5.428571428571429,High,1.0,4.571428571428571,Low
138,57.0,Male,4.0,7.0,4.857142857142858,High,1.0,5.142857142857142,Low
139,17.0,Male,1.0,6.0,2.4285714285714284,Low,1.0,7.571428571428571,Normal
140,63.0,Male,2.0,8.0,3.7142857142857144,High,3.0,8.285714285714285,Normal
141,62.0,Male,4.0,9.0,5.428571428571429,High,2.0,5.571428571428571,Low
142,22.0,Male,3.0,7.0,4.142857142857142,High,2.0,6.857142857142858,Normal
143,10.0,Female,3.0,10.0,5.0,High,3.0,7.0,Normal
144,14.0,Male,4.0,4.0,4.0,High,1.0,6.0,Normal
145,24.0,Male,1.0,9.0,3.2857142857142856,High,3.0,8.714285714285715,Normal
146,68.0,Female,4.0,9.0,5.428571428571429,High,1.0,4.571428571428571,Low
147,8.0,Female,1.0,6.0,2.4285714285714284,Low,2.0,8.571428571428571,Normal
148,28.0,Male,3.0,3.0,3.0,High,2.0,8.0,Normal
149,12.0,Male,3.0,10.0,5.0,High,3.0,7.0,Normal
150,50.0,Male,4.0,5.0,4.285714285714286,High,1.0,5.714285714285714,Low
151,21.0,Male,1.0,3.0,1.5714285714285714,Low,3.0,10.428571428571429,High
152,17.0,Female,3.0,10.0,5.0,High,3.0,7.0,Normal
153,44.0,Male,1.0,4.0,1.8571428571428572,Low,3.0,10.142857142857142,High
154,29.0,Female,1.0,7.0,2.7142857142857144,High,3.0,9.285714285714285,Normal
155,54.0,Male,1.0,7.0,2.7142857142857144,High,2.0,8.285714285714285,Normal
156,31.0,Male,4.0,10.0,5.7142857142857135,High,1.0,4.2857142857142865,Low
157,24.0,Male,2.0,9.0,4.0,High,3.0,8.0,Normal
158,49.0,Male,3.0,8.0,4.428571428571429,High,2.0,6.571428571428571,Normal
159,50.0,Male,4.0,9.0,5.428571428571429,High,1.0,4.571428571428571,Low
160,14.0,Female,2.0,2.0,2.0,Low,3.0,10.0,High
161,65.0,Female,4.0,3.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
162,31.0,Male,3.0,5.0,3.571428571428571,High,3.0,8.428571428571429,Normal
163,64.0,Female,2.0,7.0,3.428571428571429,High,1.0,6.571428571428571,Normal
164,55.0,Female,4.0,3.0,3.7142857142857144,High,2.0,7.285714285714286,Normal
165,46.0,Female,1.0,2.0,1.2857142857142856,Low,1.0,8.714285714285715,Normal
166,29.0,Male,1.0,7.0,2.7142857142857144,High,1.0,7.285714285714286,Normal
167,48.0,Male,1.0,9.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
168,67.0,Female,1.0,5.0,2.142857142857143,Low,3.0,9.857142857142858,High
169,37.0,Female,1.0,7.0,2.7142857142857144,High,3.0,9.285714285714285,Normal
170,53.0,Male,4.0,10.0,5.7142857142857135,High,1.0,4.2857142857142865,Low
171,69.0,Female,3.0,4.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
172,66.0,Female,2.0,9.0,4.0,High,1.0,6.0,Normal
173,54.0,Female,3.0,8.0,4.428571428571429,High,1.0,5.571428571428571,Low
174,70.0,Male,1.0,9.0,3.2857142857142856,High,3.0,8.714285714285715,Normal
175,39.0,Female,1.0,10.0,3.571428571428571,High,2.0,7.428571428571429,Normal
176,50.0,Male,4.0,2.0,3.428571428571429,High,1.0,6.571428571428571,Normal
177,19.0,Female,4.0,7.0,4.857142857142858,High,2.0,6.142857142857142,Normal
178,21.0,Female,1.0,6.0,2.4285714285714284,Low,1.0,7.571428571428571,Normal
179,48.0,Female,1.0,7.0,2.7142857142857144,High,3.0,9.285714285714285,Normal
180,26.0,Female,2.0,8.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
181,51.0,Female,4.0,5.0,4.285714285714286,High,3.0,7.714285714285714,Normal
182,54.0,Female,1.0,9.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
183,70.0,Male,3.0,6.0,3.8571428571428568,High,3.0,8.142857142857142,Normal
184,12.0,Female,1.0,5.0,2.142857142857143,Low,3.0,9.857142857142858,High
185,23.0,Male,4.0,7.0,4.857142857142858,High,1.0,5.142857142857142,Low
186,28.0,Male,4.0,8.0,5.142857142857142,High,3.0,6.857142857142858,Normal
187,28.0,Male,4.0,3.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
188,35.0,Male,4.0,3.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
189,62.0,Female,3.0,10.0,5.0,High,1.0,5.0,Low
190,14.0,Female,1.0,9.0,3.2857142857142856,High,1.0,6.714285714285714,Normal
191,43.0,Male,1.0,8.0,3.0,High,3.0,9.0,Normal
192,13.0,Female,4.0,2.0,3.428571428571429,High,2.0,7.571428571428571,Normal
193,33.0,Female,3.0,8.0,4.428571428571429,High,3.0,7.571428571428571,Normal
194,37.0,Female,1.0,8.0,3.0,High,3.0,9.0,Normal
195,67.0,Female,2.0,6.0,3.142857142857143,High,2.0,7.857142857142858,Normal
196,57.0,Male,1.0,6.0,2.4285714285714284,Low,1.0,7.571428571428571,Normal
197,48.0,Female,2.0,9.0,4.0,High,3.0,8.0,Normal
198,49.0,Female,3.0,10.0,5.0,High,2.0,6.0,Normal
199,31.0,Male,3.0,9.0,4.7142857142857135,High,1.0,5.2857142857142865,Low
200,23.0,Male,4.0,9.0,5.428571428571429,High,2.0,5.571428571428571,Low
201,42.0,Female,4.0,4.0,4.0,High,3.0,8.0,Normal
202,15.0,Male,2.0,8.0,3.7142857142857144,High,2.0,7.285714285714286,Normal
203,55.0,Female,4.0,4.0,4.0,High,1.0,6.0,Normal
204,17.0,Male,3.0,10.0,5.0,High,3.0,7.0,Normal
205,33.0,Male,3.0,6.0,3.8571428571428568,High,3.0,8.142857142857142,Normal
206,6.0,Male,2.0,9.0,4.0,High,3.0,8.0,Normal
207,48.0,Male,3.0,9.0,4.7142857142857135,High,3.0,7.2857142857142865,Normal
208,39.0,Male,4.0,9.0,5.428571428571429,High,1.0,4.571428571428571,Low
209,19.0,Female,3.0,7.0,4.142857142857142,High,2.0,6.857142857142858,Normal
210,70.0,Male,1.0,6.0,2.4285714285714284,Low,3.0,9.571428571428571,High
211,21.0,Female,1.0,2.0,1.2857142857142856,Low,1.0,8.714285714285715,Normal
212,16.0,Female,3.0,6.0,3.8571428571428568,High,2.0,7.142857142857143,Normal
213,19.0,Male,1.0,9.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
214,60.0,Male,1.0,3.0,1.5714285714285714,Low,1.0,8.428571428571429,Normal
215,43.0,Male,4.0,4.0,4.0,High,2.0,7.0,Normal
216,53.0,Female,2.0,8.0,3.7142857142857144,High,3.0,8.285714285714285,Normal
217,33.0,Male,3.0,3.0,3.0,High,2.0,8.0,Normal
218,15.0,Male,3.0,7.0,4.142857142857142,High,1.0,5.857142857142858,Low
219,59.0,Male,2.0,3.0,2.2857142857142856,Low,2.0,8.714285714285715,Normal
220,39.0,Female,4.0,9.0,5.428571428571429,High,1.0,4.571428571428571,Low
221,17.0,Male,1.0,2.0,1.2857142857142856,Low,3.0,10.714285714285715,High
222,30.0,Male,1.0,4.0,1.8571428571428572,Low,1.0,8.142857142857142,Normal
223,37.0,Male,3.0,9.0,4.7142857142857135,High,2.0,6.2857142857142865,Normal
224,60.0,Male,1.0,6.0,2.4285714285714284,Low,2.0,8.571428571428571,Normal
225,53.0,Female,2.0,10.0,4.285714285714286,High,1.0,5.714285714285714,Low
226,59.0,Female,4.0,3.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
227,7.0,Female,4.0,8.0,5.142857142857142,High,2.0,5.857142857142858,Low
228,9.0,Female,4.0,7.0,4.857142857142858,High,2.0,6.142857142857142,Normal
229,40.0,Male,4.0,2.0,3.428571428571429,High,2.0,7.571428571428571,Normal
230,10.0,Female,4.0,9.0,5.428571428571429,High,3.0,6.571428571428571,Normal
231,48.0,Male,1.0,10.0,3.571428571428571,High,2.0,7.428571428571429,Normal
232,7.0,Female,1.0,3.0,1.5714285714285714,Low,3.0,10.428571428571429,High
233,14.0,Female,2.0,10.0,4.285714285714286,High,1.0,5.714285714285714,Low
234,15.0,Male,4.0,3.0,3.7142857142857144,High,2.0,7.285714285714286,Normal
235,50.0,Female,4.0,6.0,4.571428571428571,High,3.0,7.428571428571429,Normal
236,61.0,Male,2.0,8.0,3.7142857142857144,High,3.0,8.285714285714285,Normal
237,52.0,Female,1.0,10.0,3.571428571428571,High,2.0,7.428571428571429,Normal
238,11.0,Male,3.0,3.0,3.0,High,2.0,8.0,Normal
239,31.0,Female,1.0,9.0,3.2857142857142856,High,1.0,6.714285714285714,Normal
240,11.0,Male,4.0,10.0,5.7142857142857135,High,2.0,5.2857142857142865,Low
241,21.0,Male,2.0,4.0,2.571428571428571,High,1.0,7.428571428571429,Normal
242,12.0,Female,4.0,8.0,5.142857142857142,High,1.0,4.857142857142858,Low
243,14.0,Female,4.0,5.0,4.285714285714286,High,3.0,7.714285714285714,Normal
244,26.0,Female,2.0,8.0,3.7142857142857144,High,2.0,7.285714285714286,Normal
245,47.0,Female,4.0,4.0,4.0,High,2.0,7.0,Normal
246,15.0,Female,2.0,4.0,2.571428571428571,High,3.0,9.428571428571429,Normal
247,68.0,Female,4.0,3.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
248,53.0,Male,3.0,4.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
249,29.0,Male,2.0,4.0,2.571428571428571,High,3.0,9.428571428571429,Normal
250,36.0,Male,1.0,10.0,3.571428571428571,High,1.0,6.428571428571429,Normal
251,35.0,Male,3.0,6.0,3.8571428571428568,High,3.0,8.142857142857142,Normal
252,9.0,Female,3.0,5.0,3.571428571428571,High,3.0,8.428571428571429,Normal
253,60.0,Female,1.0,3.0,1.5714285714285714,Low,2.0,9.428571428571429,Normal
254,18.0,Female,1.0,8.0,3.0,High,2.0,8.0,Normal
255,31.0,Female,2.0,8.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
256,13.0,Female,1.0,4.0,1.8571428571428572,Low,2.0,9.142857142857142,Normal
257,7.0,Male,4.0,6.0,4.571428571428571,High,1.0,5.428571428571429,Low
258,10.0,Female,1.0,6.0,2.4285714285714284,Low,2.0,8.571428571428571,Normal
259,19.0,Female,1.0,4.0,1.8571428571428572,Low,3.0,10.142857142857142,High
260,57.0,Male,2.0,10.0,4.285714285714286,High,3.0,7.714285714285714,Normal
261,6.0,Female,1.0,9.0,3.2857142857142856,High,3.0,8.714285714285715,Normal
262,23.0,Female,3.0,9.0,4.7142857142857135,High,1.0,5.2857142857142865,Low
263,69.0,Female,4.0,2.0,3.428571428571429,High,2.0,7.571428571428571,Normal
264,29.0,Female,2.0,6.0,3.142857142857143,High,3.0,8.857142857142858,Normal
265,30.0,Female,3.0,5.0,3.571428571428571,High,1.0,6.428571428571429,Normal
266,31.0,Female,1.0,2.0,1.2857142857142856,Low,3.0,10.714285714285715,High
267,14.0,Male,1.0,5.0,2.142857142857143,Low,1.0,7.857142857142858,Normal
268,32.0,Male,2.0,2.0,2.0,Low,1.0,8.0,Normal
269,63.0,Male,3.0,6.0,3.8571428571428568,High,3.0,8.142857142857142,Normal
270,25.0,Male,3.0,2.0,2.7142857142857144,High,2.0,8.285714285714285,Normal
271,25.0,Female,3.0,5.0,3.571428571428571,High,3.0,8.428571428571429,Normal
272,18.0,Male,4.0,4.0,4.0,High,3.0,8.0,Normal
273,52.0,Female,1.0,4.0,1.8571428571428572,Low,2.0,9.142857142857142,Normal
274,39.0,Male,2.0,10.0,4.285714285714286,High,1.0,5.714285714285714,Low
275,38.0,Male,1.0,10.0,3.571428571428571,High,1.0,6.428571428571429,Normal
276,69.0,Female,2.0,6.0,3.142857142857143,High,1.0,6.857142857142858,Normal
277,33.0,Female,1.0,6.0,2.4285714285714284,Low,1.0,7.571428571428571,Normal
278,50.0,Male,3.0,5.0,3.571428571428571,High,1.0,6.428571428571429,Normal
279,61.0,Male,1.0,6.0,2.4285714285714284,Low,3.0,9.571428571428571,High
280,21.0,Female,1.0,3.0,1.5714285714285714,Low,1.0,8.428571428571429,Normal
281,25.0,Female,4.0,3.0,3.7142857142857144,High,2.0,7.285714285714286,Normal
282,24.0,Female,4.0,6.0,4.571428571428571,High,2.0,6.428571428571429,Normal
283,15.0,Female,1.0,2.0,1.2857142857142856,Low,1.0,8.714285714285715,Normal
284,59.0,Female,2.0,2.0,2.0,Low,2.0,9.0,Normal
285,11.0,Female,3.0,3.0,3.0,High,1.0,7.0,Normal
286,58.0,Female,3.0,7.0,4.142857142857142,High,2.0,6.857142857142858,Normal
287,28.0,Male,2.0,10.0,4.285714285714286,High,1.0,5.714285714285714,Low
288,41.0,Male,3.0,7.0,4.142857142857142,High,2.0,6.857142857142858,Normal
289,55.0,Male,3.0,8.0,4.428571428571429,High,2.0,6.571428571428571,Normal
290,63.0,Female,4.0,10.0,5.7142857142857135,High,2.0,5.2857142857142865,Low
291,68.0,Female,1.0,9.0,3.2857142857142856,High,1.0,6.714285714285714,Normal
292,45.0,Female,2.0,2.0,2.0,Low,2.0,9.0,Normal
293,6.0,Female,3.0,2.0,2.7142857142857144,High,1.0,7.285714285714286,Normal
294,14.0,Female,3.0,9.0,4.7142857142857135,High,3.0,7.2857142857142865,Normal
295,15.0,Male,1.0,7.0,2.7142857142857144,High,2.0,8.285714285714285,Normal
296,18.0,Male,2.0,6.0,3.142857142857143,High,1.0,6.857142857142858,Normal
297,70.0,Female,3.0,3.0,3.0,High,3.0,9.0,Normal
298,10.0,Female,2.0,3.0,2.2857142857142856,Low,1.0,7.714285714285714,Normal
299,64.0,Female,4.0,10.0,5.7142857142857135,High,2.0,5.2857142857142865,Low
300,20.0,Male,2.0,3.0,2.2857142857142856,Low,2.0,8.714285714285715,Normal
301,59.0,Male,2.0,8.0,3.7142857142857144,High,2.0,7.285714285714286,Normal
302,57.0,Male,2.0,5.0,2.8571428571428568,High,1.0,7.142857142857143,Normal
303,70.0,Male,1.0,2.0,1.2857142857142856,Low,2.0,9.714285714285715,High
304,6.0,Male,2.0,3.0,2.2857142857142856,Low,2.0,8.714285714285715,Normal
305,54.0,Female,3.0,2.0,2.7142857142857144,High,1.0,7.285714285714286,Normal
306,32.0,Male,1.0,2.0,1.2857142857142856,Low,1.0,8.714285714285715,Normal
307,62.0,Female,3.0,7.0,4.142857142857142,High,1.0,5.857142857142858,Low
308,50.0,Male,1.0,2.0,1.2857142857142856,Low,3.0,10.714285714285715,High
309,69.0,Female,2.0,7.0,3.428571428571429,High,1.0,6.571428571428571,Normal
310,41.0,Male,1.0,6.0,2.4285714285714284,Low,2.0,8.571428571428571,Normal
311,39.0,Male,3.0,3.0,3.0,High,1.0,7.0,Normal
312,33.0,Male,3.0,6.0,3.8571428571428568,High,2.0,7.142857142857143,Normal
313,8.0,Female,4.0,6.0,4.571428571428571,High,3.0,7.428571428571429,Normal
314,69.0,Male,1.0,6.0,2.4285714285714284,Low,3.0,9.571428571428571,High
315,42.0,Female,1.0,7.0,2.7142857142857144,High,1.0,7.285714285714286,Normal
316,31.0,Female,2.0,9.0,4.0,High,3.0,8.0,Normal
317,51.0,Female,2.0,8.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
318,22.0,Female,2.0,10.0,4.285714285714286,High,1.0,5.714285714285714,Low
319,46.0,Female,4.0,8.0,5.142857142857142,High,2.0,5.857142857142858,Low
320,53.0,Male,2.0,10.0,4.285714285714286,High,2.0,6.714285714285714,Normal
321,15.0,Male,4.0,10.0,5.7142857142857135,High,1.0,4.2857142857142865,Low
322,36.0,Female,4.0,4.0,4.0,High,3.0,8.0,Normal
323,58.0,Female,3.0,3.0,3.0,High,3.0,9.0,Normal
324,68.0,Male,2.0,9.0,4.0,High,2.0,7.0,Normal
325,27.0,Female,2.0,8.0,3.7142857142857144,High,2.0,7.285714285714286,Normal
326,70.0,Female,1.0,10.0,3.571428571428571,High,3.0,8.428571428571429,Normal
327,48.0,Female,4.0,3.0,3.7142857142857144,High,3.0,8.285714285714285,Normal
328,31.0,Female,3.0,3.0,3.0,High,2.0,8.0,Normal
