,Age,Gender,PC+TV on weekdays,PC+TV on weekends,ScreenTime,Screen_time_exposure,Exercise
82,27.0,Female,2.0,8.0,3.7142857142857144,High,1.0
83,19.0,Male,1.0,6.0,2.4285714285714284,Low,1.0
84,52.0,Female,2.0,6.0,3.142857142857143,High,1.0
85,43.0,Female,4.0,10.0,5.7142857142857135,High,3.0
86,47.0,Male,2.0,6.0,3.142857142857143,High,1.0
87,48.0,Male,3.0,3.0,3.0,High,1.0
88,31.0,Female,3.0,7.0,4.142857142857142,High,1.0
89,54.0,Female,4.0,3.0,3.7142857142857144,High,2.0
90,54.0,Female,1.0,4.0,1.8571428571428572,Low,3.0
91,63.0,Male,2.0,4.0,2.571428571428571,High,3.0
92,33.0,Male,2.0,5.0,2.8571428571428568,High,2.0
93,51.0,Male,1.0,5.0,2.142857142857143,Low,1.0
94,65.0,Female,3.0,4.0,3.2857142857142856,High,2.0
95,35.0,Female,2.0,2.0,2.0,Low,1.0
96,7.0,Male,2.0,8.0,3.7142857142857144,High,3.0
97,66.0,Female,1.0,3.0,1.5714285714285714,Low,1.0
98,30.0,Female,1.0,8.0,3.0,High,3.0
99,46.0,Male,3.0,3.0,3.0,High,3.0
100,60.0,Female,2.0,5.0,2.8571428571428568,High,3.0
101,65.0,Female,3.0,6.0,3.8571428571428568,High,3.0
102,40.0,Female,3.0,9.0,4.7142857142857135,High,3.0
103,49.0,Male,3.0,4.0,3.2857142857142856,High,2.0
104,17.0,Male,4.0,9.0,5.428571428571429,High,1.0
105,29.0,Female,3.0,2.0,2.7142857142857144,High,3.0
106,19.0,Male,4.0,3.0,3.7142857142857144,High,3.0
107,45.0,Male,2.0,7.0,3.428571428571429,High,2.0
108,46.0,Male,3.0,4.0,3.2857142857142856,High,3.0
109,63.0,Female,4.0,10.0,5.7142857142857135,High,1.0
110,27.0,Female,1.0,6.0,2.4285714285714284,Low,1.0
111,50.0,Male,4.0,2.0,3.428571428571429,High,2.0
112,36.0,Female,4.0,9.0,5.428571428571429,High,2.0
113,15.0,Male,3.0,8.0,4.428571428571429,High,3.0
114,23.0,Female,1.0,5.0,2.142857142857143,Low,2.0
115,7.0,Female,2.0,8.0,3.7142857142857144,High,3.0
116,38.0,Female,3.0,3.0,3.0,High,2.0
117,48.0,Male,1.0,5.0,2.142857142857143,Low,1.0
118,39.0,Male,4.0,7.0,4.857142857142858,High,2.0
119,11.0,Female,1.0,2.0,1.2857142857142856,Low,3.0
120,17.0,Female,2.0,4.0,2.571428571428571,High,2.0
121,26.0,Male,1.0,9.0,3.2857142857142856,High,2.0
122,62.0,Female,3.0,6.0,3.8571428571428568,High,1.0
123,32.0,Male,1.0,10.0,3.571428571428571,High,1.0
124,20.0,Female,3.0,8.0,4.428571428571429,High,2.0
125,11.0,Female,4.0,3.0,3.7142857142857144,High,2.0
126,52.0,Female,3.0,8.0,4.428571428571429,High,1.0
127,41.0,Male,1.0,5.0,2.142857142857143,Low,2.0
128,39.0,Female,3.0,2.0,2.7142857142857144,High,1.0
129,47.0,Female,1.0,2.0,1.2857142857142856,Low,2.0
130,34.0,Male,1.0,8.0,3.0,High,2.0
131,19.0,Male,1.0,6.0,2.4285714285714284,Low,2.0
132,50.0,Female,1.0,4.0,1.8571428571428572,Low,2.0
133,16.0,Male,1.0,3.0,1.5714285714285714,Low,3.0
134,64.0,Male,4.0,5.0,4.285714285714286,High,3.0
135,49.0,Female,2.0,7.0,3.428571428571429,High,2.0
136,25.0,Male,2.0,8.0,3.7142857142857144,High,3.0
137,68.0,Female,4.0,9.0,5.428571428571429,High,1.0
138,57.0,Male,4.0,7.0,4.857142857142858,High,1.0
139,17.0,Male,1.0,6.0,2.4285714285714284,Low,1.0
140,63.0,Male,2.0,8.0,3.7142857142857144,High,3.0
141,62.0,Male,4.0,9.0,5.428571428571429,High,2.0
142,22.0,Male,3.0,7.0,4.142857142857142,High,2.0
143,10.0,Female,3.0,10.0,5.0,High,3.0
144,14.0,Male,4.0,4.0,4.0,High,1.0
145,24.0,Male,1.0,9.0,3.2857142857142856,High,3.0
146,68.0,Female,4.0,9.0,5.428571428571429,High,1.0
147,8.0,Female,1.0,6.0,2.4285714285714284,Low,2.0
148,28.0,Male,3.0,3.0,3.0,High,2.0
149,12.0,Male,3.0,10.0,5.0,High,3.0
150,50.0,Male,4.0,5.0,4.285714285714286,High,1.0
151,21.0,Male,1.0,3.0,1.5714285714285714,Low,3.0
152,17.0,Female,3.0,10.0,5.0,High,3.0
153,44.0,Male,1.0,4.0,1.8571428571428572,Low,3.0
154,29.0,Female,1.0,7.0,2.7142857142857144,High,3.0
155,54.0,Male,1.0,7.0,2.7142857142857144,High,2.0
156,31.0,Male,4.0,10.0,5.7142857142857135,High,1.0
157,24.0,Male,2.0,9.0,4.0,High,3.0
158,49.0,Male,3.0,8.0,4.428571428571429,High,2.0
159,50.0,Male,4.0,9.0,5.428571428571429,High,1.0
160,14.0,Female,2.0,2.0,2.0,Low,3.0
161,65.0,Female,4.0,3.0,3.7142857142857144,High,1.0
162,31.0,Male,3.0,5.0,3.571428571428571,High,3.0
163,64.0,Female,2.0,7.0,3.428571428571429,High,1.0
164,55.0,Female,4.0,3.0,3.7142857142857144,High,2.0
165,46.0,Female,1.0,2.0,1.2857142857142856,Low,1.0
166,29.0,Male,1.0,7.0,2.7142857142857144,High,1.0
167,48.0,Male,1.0,9.0,3.2857142857142856,High,2.0
168,67.0,Female,1.0,5.0,2.142857142857143,Low,3.0
169,37.0,Female,1.0,7.0,2.7142857142857144,High,3.0
170,53.0,Male,4.0,10.0,5.7142857142857135,High,1.0
171,69.0,Female,3.0,4.0,3.2857142857142856,High,2.0
172,66.0,Female,2.0,9.0,4.0,High,1.0
173,54.0,Female,3.0,8.0,4.428571428571429,High,1.0
174,70.0,Male,1.0,9.0,3.2857142857142856,High,3.0
175,39.0,Female,1.0,10.0,3.571428571428571,High,2.0
176,50.0,Male,4.0,2.0,3.428571428571429,High,1.0
177,19.0,Female,4.0,7.0,4.857142857142858,High,2.0
178,21.0,Female,1.0,6.0,2.4285714285714284,Low,1.0
179,48.0,Female,1.0,7.0,2.7142857142857144,High,3.0
180,26.0,Female,2.0,8.0,3.7142857142857144,High,1.0
181,51.0,Female,4.0,5.0,4.285714285714286,High,3.0
182,54.0,Female,1.0,9.0,3.2857142857142856,High,2.0
183,70.0,Male,3.0,6.0,3.8571428571428568,High,3.0
184,12.0,Female,1.0,5.0,2.142857142857143,Low,3.0
185,23.0,Male,4.0,7.0,4.857142857142858,High,1.0
186,28.0,Male,4.0,8.0,5.142857142857142,High,3.0
187,28.0,Male,4.0,3.0,3.7142857142857144,High,1.0
188,35.0,Male,4.0,3.0,3.7142857142857144,High,1.0
189,62.0,Female,3.0,10.0,5.0,High,1.0
190,14.0,Female,1.0,9.0,3.2857142857142856,High,1.0
191,43.0,Male,1.0,8.0,3.0,High,3.0
192,13.0,Female,4.0,2.0,3.428571428571429,High,2.0
193,33.0,Female,3.0,8.0,4.428571428571429,High,3.0
194,37.0,Female,1.0,8.0,3.0,High,3.0
195,67.0,Female,2.0,6.0,3.142857142857143,High,2.0
196,57.0,Male,1.0,6.0,2.4285714285714284,Low,1.0
197,48.0,Female,2.0,9.0,4.0,High,3.0
198,49.0,Female,3.0,10.0,5.0,High,2.0
199,31.0,Male,3.0,9.0,4.7142857142857135,High,1.0
200,23.0,Male,4.0,9.0,5.428571428571429,High,2.0
201,42.0,Female,4.0,4.0,4.0,High,3.0
202,15.0,Male,2.0,8.0,3.7142857142857144,High,2.0
203,55.0,Female,4.0,4.0,4.0,High,1.0
204,17.0,Male,3.0,10.0,5.0,High,3.0
205,33.0,Male,3.0,6.0,3.8571428571428568,High,3.0
206,6.0,Male,2.0,9.0,4.0,High,3.0
207,48.0,Male,3.0,9.0,4.7142857142857135,High,3.0
208,39.0,Male,4.0,9.0,5.428571428571429,High,1.0
209,19.0,Female,3.0,7.0,4.142857142857142,High,2.0
210,70.0,Male,1.0,6.0,2.4285714285714284,Low,3.0
211,21.0,Female,1.0,2.0,1.2857142857142856,Low,1.0
212,16.0,Female,3.0,6.0,3.8571428571428568,High,2.0
213,19.0,Male,1.0,9.0,3.2857142857142856,High,2.0
214,60.0,Male,1.0,3.0,1.5714285714285714,Low,1.0
215,43.0,Male,4.0,4.0,4.0,High,2.0
216,53.0,Female,2.0,8.0,3.7142857142857144,High,3.0
217,33.0,Male,3.0,3.0,3.0,High,2.0
218,15.0,Male,3.0,7.0,4.142857142857142,High,1.0
219,59.0,Male,2.0,3.0,2.2857142857142856,Low,2.0
220,39.0,Female,4.0,9.0,5.428571428571429,High,1.0
221,17.0,Male,1.0,2.0,1.2857142857142856,Low,3.0
222,30.0,Male,1.0,4.0,1.8571428571428572,Low,1.0
223,37.0,Male,3.0,9.0,4.7142857142857135,High,2.0
224,60.0,Male,1.0,6.0,2.4285714285714284,Low,2.0
225,53.0,Female,2.0,10.0,4.285714285714286,High,1.0
226,59.0,Female,4.0,3.0,3.7142857142857144,High,1.0
227,7.0,Female,4.0,8.0,5.142857142857142,High,2.0
228,9.0,Female,4.0,7.0,4.857142857142858,High,2.0
229,40.0,Male,4.0,2.0,3.428571428571429,High,2.0
230,10.0,Female,4.0,9.0,5.428571428571429,High,3.0
231,48.0,Male,1.0,10.0,3.571428571428571,High,2.0
232,7.0,Female,1.0,3.0,1.5714285714285714,Low,3.0
233,14.0,Female,2.0,10.0,4.285714285714286,High,1.0
234,15.0,Male,4.0,3.0,3.7142857142857144,High,2.0
235,50.0,Female,4.0,6.0,4.571428571428571,High,3.0
236,61.0,Male,2.0,8.0,3.7142857142857144,High,3.0
237,52.0,Female,1.0,10.0,3.571428571428571,High,2.0
238,11.0,Male,3.0,3.0,3.0,High,2.0
239,31.0,Female,1.0,9.0,3.2857142857142856,High,1.0
240,11.0,Male,4.0,10.0,5.7142857142857135,High,2.0
241,21.0,Male,2.0,4.0,2.571428571428571,High,1.0
242,12.0,Female,4.0,8.0,5.142857142857142,High,1.0
243,14.0,Female,4.0,5.0,4.285714285714286,High,3.0
244,26.0,Female,2.0,8.0,3.7142857142857144,High,2.0
245,47.0,Female,4.0,4.0,4.0,High,2.0
246,15.0,Female,2.0,4.0,2.571428571428571,High,3.0
247,68.0,Female,4.0,3.0,3.7142857142857144,High,1.0
248,53.0,Male,3.0,4.0,3.2857142857142856,High,2.0
249,29.0,Male,2.0,4.0,2.571428571428571,High,3.0
250,36.0,Male,1.0,10.0,3.571428571428571,High,1.0
251,35.0,Male,3.0,6.0,3.8571428571428568,High,3.0
252,9.0,Female,3.0,5.0,3.571428571428571,High,3.0
253,60.0,Female,1.0,3.0,1.5714285714285714,Low,2.0
254,18.0,Female,1.0,8.0,3.0,High,2.0
255,31.0,Female,2.0,8.0,3.7142857142857144,High,1.0
256,13.0,Female,1.0,4.0,1.8571428571428572,Low,2.0
257,7.0,Male,4.0,6.0,4.571428571428571,High,1.0
258,10.0,Female,1.0,6.0,2.4285714285714284,Low,2.0
259,19.0,Female,1.0,4.0,1.8571428571428572,Low,3.0
260,57.0,Male,2.0,10.0,4.285714285714286,High,3.0
261,6.0,Female,1.0,9.0,3.2857142857142856,High,3.0
262,23.0,Female,3.0,9.0,4.7142857142857135,High,1.0
263,69.0,Female,4.0,2.0,3.428571428571429,High,2.0
264,29.0,Female,2.0,6.0,3.142857142857143,High,3.0
265,30.0,Female,3.0,5.0,3.571428571428571,High,1.0
266,31.0,Female,1.0,2.0,1.2857142857142856,Low,3.0
267,14.0,Male,1.0,5.0,2.142857142857143,Low,1.0
268,32.0,Male,2.0,2.0,2.0,Low,1.0
269,63.0,Male,3.0,6.0,3.8571428571428568,High,3.0
270,25.0,Male,3.0,2.0,2.7142857142857144,High,2.0
271,25.0,Female,3.0,5.0,3.571428571428571,High,3.0
272,18.0,Male,4.0,4.0,4.0,High,3.0
273,52.0,Female,1.0,4.0,1.8571428571428572,Low,2.0
274,39.0,Male,2.0,10.0,4.285714285714286,High,1.0
275,38.0,Male,1.0,10.0,3.571428571428571,High,1.0
276,69.0,Female,2.0,6.0,3.142857142857143,High,1.0
277,33.0,Female,1.0,6.0,2.4285714285714284,Low,1.0
278,50.0,Male,3.0,5.0,3.571428571428571,High,1.0
279,61.0,Male,1.0,6.0,2.4285714285714284,Low,3.0
280,21.0,Female,1.0,3.0,1.5714285714285714,Low,1.0
281,25.0,Female,4.0,3.0,3.7142857142857144,High,2.0
282,24.0,Female,4.0,6.0,4.571428571428571,High,2.0
283,15.0,Female,1.0,2.0,1.2857142857142856,Low,1.0
284,59.0,Female,2.0,2.0,2.0,Low,2.0
285,11.0,Female,3.0,3.0,3.0,High,1.0
286,58.0,Female,3.0,7.0,4.142857142857142,High,2.0
287,28.0,Male,2.0,10.0,4.285714285714286,High,1.0
288,41.0,Male,3.0,7.0,4.142857142857142,High,2.0
289,55.0,Male,3.0,8.0,4.428571428571429,High,2.0
290,63.0,Female,4.0,10.0,5.7142857142857135,High,2.0
291,68.0,Female,1.0,9.0,3.2857142857142856,High,1.0
292,45.0,Female,2.0,2.0,2.0,Low,2.0
293,6.0,Female,3.0,2.0,2.7142857142857144,High,1.0
294,14.0,Female,3.0,9.0,4.7142857142857135,High,3.0
295,15.0,Male,1.0,7.0,2.7142857142857144,High,2.0
296,18.0,Male,2.0,6.0,3.142857142857143,High,1.0
297,70.0,Female,3.0,3.0,3.0,High,3.0
298,10.0,Female,2.0,3.0,2.2857142857142856,Low,1.0
299,64.0,Female,4.0,10.0,5.7142857142857135,High,2.0
300,20.0,Male,2.0,3.0,2.2857142857142856,Low,2.0
301,59.0,Male,2.0,8.0,3.7142857142857144,High,2.0
302,57.0,Male,2.0,5.0,2.8571428571428568,High,1.0
303,70.0,Male,1.0,2.0,1.2857142857142856,Low,2.0
304,6.0,Male,2.0,3.0,2.2857142857142856,Low,2.0
305,54.0,Female,3.0,2.0,2.7142857142857144,High,1.0
306,32.0,Male,1.0,2.0,1.2857142857142856,Low,1.0
307,62.0,Female,3.0,7.0,4.142857142857142,High,1.0
308,50.0,Male,1.0,2.0,1.2857142857142856,Low,3.0
309,69.0,Female,2.0,7.0,3.428571428571429,High,1.0
310,41.0,Male,1.0,6.0,2.4285714285714284,Low,2.0
311,39.0,Male,3.0,3.0,3.0,High,1.0
312,33.0,Male,3.0,6.0,3.8571428571428568,High,2.0
313,8.0,Female,4.0,6.0,4.571428571428571,High,3.0
314,69.0,Male,1.0,6.0,2.4285714285714284,Low,3.0
315,42.0,Female,1.0,7.0,2.7142857142857144,High,1.0
316,31.0,Female,2.0,9.0,4.0,High,3.0
317,51.0,Female,2.0,8.0,3.7142857142857144,High,1.0
318,22.0,Female,2.0,10.0,4.285714285714286,High,1.0
319,46.0,Female,4.0,8.0,5.142857142857142,High,2.0
320,53.0,Male,2.0,10.0,4.285714285714286,High,2.0
321,15.0,Male,4.0,10.0,5.7142857142857135,High,1.0
322,36.0,Female,4.0,4.0,4.0,High,3.0
323,58.0,Female,3.0,3.0,3.0,High,3.0
324,68.0,Male,2.0,9.0,4.0,High,2.0
325,27.0,Female,2.0,8.0,3.7142857142857144,High,2.0
326,70.0,Female,1.0,10.0,3.571428571428571,High,3.0
327,48.0,Female,4.0,3.0,3.7142857142857144,High,3.0
328,31.0,Female,3.0,3.0,3.0,High,2.0
329,27.0,Female,1.0,5.0,2.142857142857143,Low,2.0
330,30.0,Male,1.0,8.0,3.0,High,1.0
331,32.0,Male,1.0,4.0,1.8571428571428572,Low,2.0
332,25.0,Male,4.0,5.0,4.285714285714286,High,3.0
333,37.0,Female,3.0,10.0,5.0,High,3.0
334,54.0,Female,4.0,2.0,3.428571428571429,High,2.0
335,55.0,Male,4.0,3.0,3.7142857142857144,High,2.0
336,39.0,Female,3.0,9.0,4.7142857142857135,High,2.0
337,31.0,Male,3.0,3.0,3.0,High,3.0
338,21.0,Male,1.0,4.0,1.8571428571428572,Low,1.0
339,40.0,Female,1.0,2.0,1.2857142857142856,Low,3.0
340,61.0,Female,2.0,5.0,2.8571428571428568,High,2.0
341,11.0,Male,2.0,10.0,4.285714285714286,High,3.0
342,44.0,Female,1.0,6.0,2.4285714285714284,Low,3.0
343,64.0,Male,4.0,2.0,3.428571428571429,High,2.0
344,26.0,Male,1.0,4.0,1.8571428571428572,Low,3.0
345,10.0,Male,3.0,6.0,3.8571428571428568,High,3.0
346,12.0,Female,4.0,3.0,3.7142857142857144,High,2.0
347,38.0,Male,4.0,10.0,5.7142857142857135,High,2.0
348,28.0,Female,4.0,6.0,4.571428571428571,High,3.0
349,55.0,Male,2.0,2.0,2.0,Low,1.0
350,32.0,Male,3.0,8.0,4.428571428571429,High,3.0
351,18.0,Female,3.0,10.0,5.0,High,2.0
352,55.0,Male,1.0,2.0,1.2857142857142856,Low,3.0
353,50.0,Female,3.0,7.0,4.142857142857142,High,2.0
354,49.0,Male,1.0,4.0,1.8571428571428572,Low,1.0
355,28.0,Female,4.0,8.0,5.142857142857142,High,2.0
356,27.0,Female,3.0,5.0,3.571428571428571,High,3.0
357,7.0,Male,2.0,10.0,4.285714285714286,High,2.0
358,42.0,Male,1.0,7.0,2.7142857142857144,High,2.0
359,36.0,Male,1.0,10.0,3.571428571428571,High,2.0
360,50.0,Female,1.0,5.0,2.142857142857143,Low,1.0
361,36.0,Female,4.0,4.0,4.0,High,1.0
362,27.0,Female,3.0,6.0,3.8571428571428568,High,2.0
363,58.0,Male,2.0,9.0,4.0,High,1.0
364,25.0,Female,3.0,2.0,2.7142857142857144,High,2.0
365,54.0,Female,1.0,4.0,1.8571428571428572,Low,2.0
366,17.0,Female,3.0,4.0,3.2857142857142856,High,3.0
367,63.0,Female,4.0,5.0,4.285714285714286,High,3.0
368,35.0,Male,4.0,6.0,4.571428571428571,High,2.0
369,41.0,Female,2.0,2.0,2.0,Low,3.0
370,41.0,Female,1.0,4.0,1.8571428571428572,Low,2.0
371,12.0,Female,4.0,6.0,4.571428571428571,High,3.0
372,50.0,Female,1.0,10.0,3.571428571428571,High,1.0
373,35.0,Male,2.0,8.0,3.7142857142857144,High,1.0
374,44.0,Female,1.0,4.0,1.8571428571428572,Low,2.0
375,37.0,Male,4.0,10.0,5.7142857142857135,High,1.0
376,43.0,Female,3.0,9.0,4.7142857142857135,High,3.0
377,35.0,Female,1.0,6.0,2.4285714285714284,Low,2.0
378,38.0,Female,3.0,6.0,3.8571428571428568,High,3.0
379,11.0,Male,4.0,10.0,5.7142857142857135,High,1.0
380,47.0,Male,4.0,5.0,4.285714285714286,High,2.0
381,30.0,Male,1.0,8.0,3.0,High,1.0
382,39.0,Male,4.0,10.0,5.7142857142857135,High,2.0
383,11.0,Female,1.0,8.0,3.0,High,2.0
384,28.0,Male,3.0,10.0,5.0,High,1.0
385,29.0,Female,2.0,8.0,3.7142857142857144,High,2.0
386,19.0,Female,2.0,4.0,2.571428571428571,High,1.0
387,47.0,Female,2.0,2.0,2.0,Low,1.0
388,31.0,Male,3.0,3.0,3.0,High,2.0
389,40.0,Female,2.0,10.0,4.285714285714286,High,2.0
390,67.0,Female,3.0,7.0,4.142857142857142,High,1.0
391,32.0,Male,1.0,9.0,3.2857142857142856,High,3.0
392,53.0,Male,2.0,2.0,2.0,Low,2.0
393,9.0,Female,4.0,10.0,5.7142857142857135,High,2.0
394,32.0,Female,3.0,5.0,3.571428571428571,High,1.0
395,26.0,Male,2.0,9.0,4.0,High,3.0
396,11.0,Male,3.0,3.0,3.0,High,3.0
397,41.0,Female,4.0,6.0,4.571428571428571,High,1.0
398,64.0,Male,2.0,4.0,2.571428571428571,High,1.0
399,22.0,Male,3.0,5.0,3.571428571428571,High,1.0
400,33.0,Female,2.0,2.0,2.0,Low,3.0
401,48.0,Male,3.0,4.0,3.2857142857142856,High,2.0
402,46.0,Male,4.0,6.0,4.571428571428571,High,2.0
403,53.0,Male,4.0,3.0,3.7142857142857144,High,1.0
404,33.0,Male,1.0,10.0,3.571428571428571,High,1.0
405,68.0,Male,3.0,2.0,2.7142857142857144,High,1.0
406,56.0,Female,2.0,8.0,3.7142857142857144,High,3.0
407,6.0,Male,2.0,6.0,3.142857142857143,High,3.0
408,36.0,Female,2.0,2.0,2.0,Low,3.0
409,39.0,Female,3.0,8.0,4.428571428571429,High,2.0
410,30.0,Male,2.0,2.0,2.0,Low,2.0
411,47.0,Male,2.0,7.0,3.428571428571429,High,3.0
412,28.0,Female,1.0,6.0,2.4285714285714284,Low,2.0
413,68.0,Male,2.0,8.0,3.7142857142857144,High,1.0
414,36.0,Female,1.0,5.0,2.142857142857143,Low,1.0
415,50.0,Female,1.0,10.0,3.571428571428571,High,1.0
416,32.0,Female,3.0,5.0,3.571428571428571,High,3.0
417,64.0,Male,2.0,2.0,2.0,Low,2.0
418,66.0,Female,4.0,6.0,4.571428571428571,High,3.0
419,70.0,Female,3.0,5.0,3.571428571428571,High,2.0
420,7.0,Female,1.0,9.0,3.2857142857142856,High,2.0
421,26.0,Male,1.0,2.0,1.2857142857142856,Low,2.0
422,43.0,Male,3.0,3.0,3.0,High,1.0
423,58.0,Male,2.0,5.0,2.8571428571428568,High,1.0
424,37.0,Female,1.0,5.0,2.142857142857143,Low,2.0
425,13.0,Male,3.0,7.0,4.142857142857142,High,1.0
426,62.0,Male,3.0,4.0,3.2857142857142856,High,1.0
427,55.0,Female,4.0,2.0,3.428571428571429,High,3.0
428,27.0,Male,1.0,3.0,1.5714285714285714,Low,2.0
429,49.0,Male,1.0,9.0,3.2857142857142856,High,2.0
430,60.0,Male,4.0,9.0,5.428571428571429,High,1.0
431,54.0,Male,2.0,10.0,4.285714285714286,High,2.0
432,67.0,Male,2.0,8.0,3.7142857142857144,High,3.0
433,23.0,Male,3.0,5.0,3.571428571428571,High,2.0
434,42.0,Male,3.0,7.0,4.142857142857142,High,1.0
435,35.0,Female,2.0,5.0,2.8571428571428568,High,2.0
436,7.0,Female,1.0,7.0,2.7142857142857144,High,3.0
437,40.0,Female,4.0,2.0,3.428571428571429,High,2.0
438,19.0,Male,1.0,9.0,3.2857142857142856,High,1.0
439,20.0,Male,2.0,3.0,2.2857142857142856,Low,1.0
440,30.0,Male,1.0,3.0,1.5714285714285714,Low,1.0
441,61.0,Female,1.0,5.0,2.142857142857143,Low,2.0
442,30.0,Female,4.0,10.0,5.7142857142857135,High,2.0
443,32.0,Male,3.0,9.0,4.7142857142857135,High,1.0
444,55.0,Male,3.0,7.0,4.142857142857142,High,1.0
445,43.0,Male,3.0,3.0,3.0,High,1.0
446,43.0,Female,2.0,7.0,3.428571428571429,High,1.0
447,30.0,Male,1.0,3.0,1.5714285714285714,Low,3.0
